,2016,2017,2018,2019,2020,2021,2022
서울,9930616,9857426,9765623,9729107,9668465,9509458,9428372
부산,3498529,3470653,3441453,3413841,3391946,3350380,3317812
대구,2484557,2475231,2461769,2438031,2418346,2385412,2363691
인천,2943069,2948542,2954642,2957026,2942828,2948375,2967314
광주,1469214,1463770,1459336,1456468,1450062,1441611,1431050
대전,1514370,1502227,1489936,1474870,1463882,1452251,1446072
울산,1172304,1165132,1155623,1148019,1136017,1121592,1110663
세종,243048,280100,314126,340575,355831,371895,383591
경기,12716780,12873895,13077153,13239666,13427014,13565450,13589432
강원,1550806,1550142,1543052,1541502,1542840,1538492,1536498
충북,1591625,1594432,1599252,1600007,1600837,1597427,1595058
충남,2096727,2116770,2126282,2123709,2121029,2119257,2123037
전북,1864791,1854607,1836832,1818917,1804104,1786855,1769607
전남,1903914,1896424,1882970,1868745,1851549,1832803,1817697
경북,2700398,2691706,2676831,2665836,2639422,2626609,2600492
경남,3373871,3380404,3373988,3362553,3340216,3314183,3280493
제주,641597,657083,667191,670989,674635,676759,678159
