,code,region,pop
0,11,서울특별시,-100.0
1,11110,종로구,-100.0
2,11140,중구,-100.0
3,11170,용산구,-100.0
4,11200,성동구,-100.0
5,11215,광진구,-100.0
6,11230,동대문구,-100.0
7,11260,중랑구,-100.0
8,11290,성북구,-100.0
9,11305,강북구,-100.0
10,11320,도봉구,-100.0
11,11350,노원구,-100.0
12,11380,은평구,-100.0
13,11410,서대문구,-100.0
14,11440,마포구,-100.0
15,11470,양천구,-100.0
16,11500,강서구,-100.0
17,11530,구로구,-100.0
18,11545,금천구,-100.0
19,11560,영등포구,-100.0
20,11590,동작구,-100.0
21,11620,관악구,-100.0
22,11650,서초구,-100.0
23,11680,강남구,-100.0
24,11710,송파구,-100.0
25,11740,강동구,-100.0
26,26,부산광역시,-100.0
27,26110,중구,-100.0
28,26140,서구,-100.0
29,26170,동구,-100.0
30,26200,영도구,-100.0
31,26230,부산진구,-100.0
32,26260,동래구,-100.0
33,26290,남구,-100.0
34,26320,북구,-100.0
35,26350,해운대구,-100.0
36,26380,사하구,-100.0
37,26410,금정구,-100.0
38,26440,강서구,-100.0
39,26470,연제구,-100.0
40,26500,수영구,-100.0
41,26530,사상구,-100.0
42,26710,기장군,-100.0
43,27,대구광역시,-100.0
44,27110,중구,-100.0
45,27140,동구,-100.0
46,27170,서구,-100.0
47,27200,남구,-100.0
48,27230,북구,-100.0
49,27260,수성구,-100.0
50,27290,달서구,-100.0
51,27710,달성군,-100.0
52,28,인천광역시,-100.0
53,28110,중구,-100.0
54,28140,동구,-100.0
55,28177,미추홀구,-100.0
56,28185,연수구,-100.0
57,28200,남동구,-100.0
58,28237,부평구,-100.0
59,28245,계양구,-100.0
60,28260,서구,-100.0
61,28710,강화군,-100.0
62,28720,옹진군,-100.0
63,29,광주광역시,-100.0
64,29110,동구,-100.0
65,29140,서구,-100.0
66,29155,남구,-100.0
67,29170,북구,-100.0
68,29200,광산구,-100.0
69,30,대전광역시,-100.0
70,30110,동구,-100.0
71,30140,중구,-100.0
72,30170,서구,-100.0
73,30200,유성구,-100.0
74,30230,대덕구,-100.0
75,31,울산광역시,-100.0
76,31110,중구,-100.0
77,31140,남구,-100.0
78,31170,동구,-100.0
79,31200,북구,-100.0
80,31710,울주군,-100.0
81,36,세종특별자치시,-100.0
82,36110,세종시,-100.0
83,41,경기도,-100.0
84,41110,수원시,773.9804277916165
85,41111,장안구,773.9804277916165
86,41113,권선구,773.9804277916165
87,41115,팔달구,773.9804277916165
88,41117,영통구,773.9804277916165
89,41130,성남시,1395.577014936934
90,41131,수정구,1395.577014936934
91,41133,중원구,1395.577014936934
92,41135,분당구,1395.577014936934
93,41150,의정부시,543.0366472700271
94,41170,안양시,953.6117002948748
95,41171,만안구,953.6117002948748
96,41173,동안구,953.6117002948748
97,41190,부천시,690.4167285640788
98,41210,광명시,1162.295803706425
99,41220,평택시,394.17752863443
100,41250,동두천시,305.1514473700197
101,41270,안산시,588.6879324213365
102,41271,상록구,588.6879324213365
103,41273,단원구,588.6879324213365
104,41280,고양시,673.7873684791934
105,41281,덕양구,673.7873684791934
106,41285,일산동구,673.7873684791934
107,41287,일산서구,673.7873684791934
108,41290,과천시,2157.179435090521
109,41310,구리시,907.1233811541564
110,41360,남양주시,589.3768185321178
111,41370,오산시,505.8634438426468
112,41390,시흥시,607.0317685734831
113,41410,군포시,825.9853846867477
114,41430,의왕시,899.9547173000052
115,41450,하남시,1257.519312922463
116,41460,용인시,717.8567813268312
117,41461,처인구,717.8567813268312
118,41463,기흥구,717.8567813268312
119,41465,수지구,717.8567813268312
120,41480,파주시,491.59470469665735
121,41500,이천시,323.34360450742605
122,41550,안성시,295.8523829312902
123,41570,김포시,607.6964099060295
124,41590,화성시,719.4701552058991
125,41610,광주시,500.39706819023365
126,41630,양주시,420.9736595655626
127,41650,포천시,284.43364138194374
128,41670,여주시,255.8094871515684
129,41800,연천군,144.27037054791018
130,41820,가평군,268.0288519306332
131,41830,양평군,399.3480799950853
132,42,강원도,-100.0
133,42110,춘천시,-100.0
134,42130,원주시,-100.0
135,42150,강릉시,-100.0
136,42170,동해시,-100.0
137,42190,태백시,-100.0
138,42210,속초시,-100.0
139,42230,삼척시,-100.0
140,42720,홍천군,-100.0
141,42730,횡성군,-100.0
142,42750,영월군,-100.0
143,42760,평창군,-100.0
144,42770,정선군,-100.0
145,42780,철원군,-100.0
146,42790,화천군,-100.0
147,42800,양구군,-100.0
148,42810,인제군,-100.0
149,42820,고성군,-100.0
150,42830,양양군,-100.0
151,43,충청북도,-100.0
152,43110,청주시,-100.0
153,43112,서원구,-100.0
154,43114,청원구,-100.0
155,43111,상당구,-100.0
156,43113,흥덕구,-100.0
157,43130,충주시,-100.0
158,43150,제천시,-100.0
159,43720,보은군,-100.0
160,43730,옥천군,-100.0
161,43740,영동군,-100.0
162,43745,증평군,-100.0
163,43750,진천군,-100.0
164,43760,괴산군,-100.0
165,43770,음성군,-100.0
166,43800,단양군,-100.0
167,44,충청남도,-100.0
168,44270,당진시,-100.0
169,44130,천안시,-100.0
170,44131,동남구,-100.0
171,44133,서북구,-100.0
172,44150,공주시,-100.0
173,44180,보령시,-100.0
174,44200,아산시,-100.0
175,44210,서산시,-100.0
176,44230,논산시,-100.0
177,44250,계룡시,-100.0
178,44710,금산군,-100.0
179,44760,부여군,-100.0
180,44770,서천군,-100.0
181,44790,청양군,-100.0
182,44800,홍성군,-100.0
183,44810,예산군,-100.0
184,44825,태안군,-100.0
185,45,전라북도,-100.0
186,45110,전주시,-100.0
187,45111,완산구,-100.0
188,45113,덕진구,-100.0
189,45130,군산시,-100.0
190,45140,익산시,-100.0
191,45180,정읍시,-100.0
192,45190,남원시,-100.0
193,45210,김제시,-100.0
194,45710,완주군,-100.0
195,45720,진안군,-100.0
196,45730,무주군,-100.0
197,45740,장수군,-100.0
198,45750,임실군,-100.0
199,45770,순창군,-100.0
200,45790,고창군,-100.0
201,45800,부안군,-100.0
202,46,전라남도,-100.0
203,46110,목포시,-100.0
204,46130,여수시,-100.0
205,46150,순천시,-100.0
206,46170,나주시,-100.0
207,46230,광양시,-100.0
208,46710,담양군,-100.0
209,46720,곡성군,-100.0
210,46730,구례군,-100.0
211,46770,고흥군,-100.0
212,46780,보성군,-100.0
213,46790,화순군,-100.0
214,46800,장흥군,-100.0
215,46810,강진군,-100.0
216,46820,해남군,-100.0
217,46830,영암군,-100.0
218,46840,무안군,-100.0
219,46860,함평군,-100.0
220,46870,영광군,-100.0
221,46880,장성군,-100.0
222,46890,완도군,-100.0
223,46900,진도군,-100.0
224,46910,신안군,-100.0
225,47,경상북도,-100.0
226,47110,포항시,-100.0
227,47111,남구,-100.0
228,47113,북구,-100.0
229,47130,경주시,-100.0
230,47150,김천시,-100.0
231,47170,안동시,-100.0
232,47190,구미시,-100.0
233,47210,영주시,-100.0
234,47230,영천시,-100.0
235,47250,상주시,-100.0
236,47280,문경시,-100.0
237,47290,경산시,-100.0
238,47720,군위군,-100.0
239,47730,의성군,-100.0
240,47750,청송군,-100.0
241,47760,영양군,-100.0
242,47770,영덕군,-100.0
243,47820,청도군,-100.0
244,47830,고령군,-100.0
245,47840,성주군,-100.0
246,47850,칠곡군,-100.0
247,47900,예천군,-100.0
248,47920,봉화군,-100.0
249,47930,울진군,-100.0
250,47940,울릉군,-100.0
251,48,경상남도,-100.0
252,48120,창원시,-100.0
253,48121,의창구,-100.0
254,48123,성산구,-100.0
255,48125,마산합포구,-100.0
256,48127,마산회원구,-100.0
257,48129,진해구,-100.0
258,48170,진주시,-100.0
259,48220,통영시,-100.0
260,48240,사천시,-100.0
261,48250,김해시,-100.0
262,48270,밀양시,-100.0
263,48310,거제시,-100.0
264,48330,양산시,-100.0
265,48720,의령군,-100.0
266,48730,함안군,-100.0
267,48740,창녕군,-100.0
268,48820,고성군,-100.0
269,48840,남해군,-100.0
270,48850,하동군,-100.0
271,48860,산청군,-100.0
272,48870,함양군,-100.0
273,48880,거창군,-100.0
274,48890,합천군,-100.0
275,50,제주특별자치도,-100.0
276,50110,제주시,-100.0
277,50130,서귀포시,-100.0
